NAME,PRODUCT URL,PRICE RANGE,REVIEWS,SUBCATAGORY
"WolfWise 3.2M Telescoping Ladder, Aluminum Telescopic Extension Tall Multi Purpose Loft…",https://www.amazon.co.uk/WolfWise-Telescoping-Aluminum-Telescopic-Extension/dp/B07GV4VWLZ/ref=zg_bs_1937992031_60?_encoding=UTF8&psc=1&refRID=JRPA913ADS3RY8JGFR6H,89.99 - 134.99,"4,432",Building Supplies
Ronseal RSLMPWFL100G 100g Multi-Purpose Wood Filler Tube - Light,https://www.amazon.co.uk/Ronseal-RSLMPWFL100G-100g-Multi-Purpose-Filler/dp/B001A37WM0/ref=zg_bs_1937992031_61?_encoding=UTF8&psc=1&refRID=JRPA913ADS3RY8JGFR6H,2.99,252,Building Supplies
"Torch, Powerful Flashlight LED Torch USB Rechargable for Camping by AOMEES",https://www.amazon.co.uk/Powerful-Flashlight-Rechargable-Camping-AOMEES/dp/B07WNNX6JP/ref=zg_bs_1937992031_62?_encoding=UTF8&psc=1&refRID=JRPA913ADS3RY8JGFR6H,9.99 - 13.99,"3,133",Building Supplies
Meter Box Key Gas Key Meter Key 4-Way Multi-Functional Utilities Key for Electric Cupboard…,https://www.amazon.co.uk/Multi-Functional-Utilities-Electric-Cupboard-Cabinet/dp/B073CLWPZ4/ref=zg_bs_1937992031_63?_encoding=UTF8&psc=1&refRID=JRPA913ADS3RY8JGFR6H,5.29,"3,964",Building Supplies
"UGHEY Dehumidifier 750ml Small Dehumidifiers Mini Electric Dehumidifiers, Air Cleaner, Portable…",https://www.amazon.co.uk/UGHEY-Dehumidifier-Dehumidifiers-Electric-basements/dp/B08BHH7LHQ/ref=zg_bs_1937992031_64?_encoding=UTF8&psc=1&refRID=JRPA913ADS3RY8JGFR6H,39.99,489,Building Supplies
Torch LED Torch Tactical Military Torches Super Bright Powerful Lumens Adjustable Focus…,https://www.amazon.co.uk/Flashlight-Adjustable-Significantly-IP44-Waterproof-High-Strength/dp/B07C21PCCW/ref=zg_bs_1937992031_65?_encoding=UTF8&psc=1&refRID=JRPA913ADS3RY8JGFR6H,20.59,"7,256",Building Supplies
"HULAMEDA Door Draft Excluder Strip, Self Adhesive Draft Excluder Tape for Noise Proof…",https://www.amazon.co.uk/HULAMEDA-Excluder-Adhesive-Energy-Prevent/dp/B07CV7RHLP/ref=zg_bs_1937992031_66?_encoding=UTF8&psc=1&refRID=JRPA913ADS3RY8JGFR6H,9.99 - 15.39,"1,283",Building Supplies
Honeywell HT900EV1 Turbo Fan,https://www.amazon.co.uk/Honeywell-HT900E1-HT900E-Turbo-Fan/dp/B001VEJFT6/ref=zg_bs_1937992031_67?_encoding=UTF8&psc=1&refRID=JRPA913ADS3RY8JGFR6H,27.60,"8,066",Building Supplies
"Levoit Air Purifier for Home with True HEPA Filter, 3 Speeds, Night Light & Filter Change Reminder,…",https://www.amazon.co.uk/Levoit-Purifiers-Filtration-Eliminator-LV-H132/dp/B071D58ZY5/ref=zg_bs_1937992031_68?_encoding=UTF8&psc=1&refRID=JRPA913ADS3RY8JGFR6H,67.98 - 80.99,"26,847",Building Supplies
"UGHEY Dehumidifiers 2300ML with Humidity Display, Automatic Defrost Dehumidifier with…",https://www.amazon.co.uk/UGHEY-Dehumidifiers-Automatic-Dehumidifier-Semiconductor/dp/B08GQ55ZZS/ref=zg_bs_1937992031_69?_encoding=UTF8&psc=1&refRID=JRPA913ADS3RY8JGFR6H,61.99,"1,640",Building Supplies
Meter Box Key - Black Plastic (2 Pcs) X Pack Of 2,https://www.amazon.co.uk/Meter-Box-Key-Black-Plastic/dp/B00DNX6NFW/ref=zg_bs_1937992031_70?_encoding=UTF8&psc=1&refRID=JRPA913ADS3RY8JGFR6H,1.25 - 8.98,"2,600",Building Supplies
"Wolfteeth 36+5 LED Torch Inspection Lamp Camping Light,Hands-Free Garage Workshop…",https://www.amazon.co.uk/Wolfteeth-Inspection-Hands-Free-Flashlight-Emergencies/dp/B016T05M2K/ref=zg_bs_1937992031_71?_encoding=UTF8&psc=1&refRID=JRPA913ADS3RY8JGFR6H,7.98,"1,727",Building Supplies
